locationid,zone,aisle,bay
200003,A,4,55
200004,A,4,56
200005,A,4,57
200006,A,4,58
200007,A,4,59
199954,A,4,6
200008,A,4,60
200009,A,4,61
200010,A,4,62
200011,A,4,63
200012,A,4,64
200013,A,4,65
200014,A,4,66
200015,A,4,67
200016,A,4,68
200017,A,4,69
199955,A,4,7
200018,A,4,70
200019,A,4,71
200020,A,4,72
200021,A,4,73
200022,A,4,74
200023,A,4,75
200024,A,4,76
199956,A,4,8
199957,A,4,9
200025,A,5,1
200034,A,5,10
200035,A,5,11
200036,A,5,12
200037,A,5,13
200038,A,5,14
200039,A,5,15
200040,A,5,16
200041,A,5,17
200042,A,5,18
200043,A,5,19
200026,A,5,2
200044,A,5,20
200045,A,5,21
200046,A,5,22
200047,A,5,23
200048,A,5,24
200049,A,5,25
200050,A,5,26
200051,A,5,27
200052,A,5,28
200053,A,5,29
200027,A,5,3
200054,A,5,30
200055,A,5,31
200056,A,5,32
200057,A,5,33
200058,A,5,34
200059,A,5,35
200060,A,5,36
200061,A,5,37
200062,A,5,38
200063,A,5,39
200028,A,5,4
200064,A,5,40
200065,A,5,41
200066,A,5,42
200067,A,5,43
200068,A,5,44
200069,A,5,45
200070,A,5,46
200071,A,5,47
200072,A,5,48
200073,A,5,49
200029,A,5,5
200074,A,5,50
200075,A,5,51
200076,A,5,52
200077,A,5,53
200078,A,5,54
200079,A,5,55
200080,A,5,56
200081,A,5,57
200082,A,5,58
200083,A,5,59
200030,A,5,6
200084,A,5,60
200085,A,5,61
200086,A,5,62
200087,A,5,63
200088,A,5,64
200089,A,5,65
200090,A,5,66
200091,A,5,67
200092,A,5,68
200093,A,5,69
200031,A,5,7
200094,A,5,70
200095,A,5,71
200096,A,5,72
200097,A,5,73
200098,A,5,74
200099,A,5,75
200100,A,5,76
200032,A,5,8
200033,A,5,9
200101,A,6,1
200110,A,6,10
200111,A,6,11
200112,A,6,12
200113,A,6,13
200114,A,6,14
200115,A,6,15
200116,A,6,16
200117,A,6,17
200118,A,6,18
200119,A,6,19
200102,A,6,2
200120,A,6,20
200121,A,6,21
200122,A,6,22
200123,A,6,23
200124,A,6,24
200125,A,6,25
200126,A,6,26
200127,A,6,27
200128,A,6,28
200129,A,6,29
200103,A,6,3
200130,A,6,30
200131,A,6,31
200132,A,6,32
200133,A,6,33
200134,A,6,34
200135,A,6,35
200136,A,6,36
200137,A,6,37
200138,A,6,38
200139,A,6,39
200104,A,6,4
200140,A,6,40
200141,A,6,41
200142,A,6,42
200143,A,6,43
200144,A,6,44
200145,A,6,45
200146,A,6,46
200147,A,6,47
200148,A,6,48
200149,A,6,49
200105,A,6,5
200150,A,6,50
200151,A,6,51
200152,A,6,52
200153,A,6,53
200154,A,6,54
200155,A,6,55
200156,A,6,56
200157,A,6,57
200158,A,6,58
200159,A,6,59
200106,A,6,6
200160,A,6,60
200161,A,6,61
200162,A,6,62
200163,A,6,63
200164,A,6,64
200165,A,6,65
200166,A,6,66
200167,A,6,67
200168,A,6,68
200169,A,6,69
200107,A,6,7
200170,A,6,70
200171,A,6,71
200172,A,6,72
200173,A,6,73
200174,A,6,74
200175,A,6,75
200176,A,6,76
200108,A,6,8
200109,A,6,9
200177,A,7,1
200186,A,7,10
200187,A,7,11
200188,A,7,12
200189,A,7,13
200190,A,7,14
200191,A,7,15
200192,A,7,16
200193,A,7,17
200194,A,7,18
200195,A,7,19
200178,A,7,2
200196,A,7,20
200197,A,7,21
200198,A,7,22
200199,A,7,23
200200,A,7,24
200201,A,7,25
200202,A,7,26
200203,A,7,27
200204,A,7,28
200205,A,7,29
200179,A,7,3
200206,A,7,30
200207,A,7,31
200208,A,7,32
200209,A,7,33
200210,A,7,34
200211,A,7,35
200212,A,7,36
200213,A,7,37
200214,A,7,38
200215,A,7,39
200180,A,7,4
200216,A,7,40
200217,A,7,41
200218,A,7,42
200219,A,7,43
200220,A,7,44
200221,A,7,45
200222,A,7,46
200223,A,7,47
200224,A,7,48
200225,A,7,49
200181,A,7,5
200226,A,7,50
200227,A,7,51
200228,A,7,52
200229,A,7,53
200230,A,7,54
200231,A,7,55
200232,A,7,56
200233,A,7,57
200234,A,7,58
200235,A,7,59
200182,A,7,6
200236,A,7,60
200237,A,7,61
200238,A,7,62
200239,A,7,63
200240,A,7,64
200241,A,7,65
200242,A,7,66
200243,A,7,67
200244,A,7,68
200245,A,7,69
200183,A,7,7
200246,A,7,70
200247,A,7,71
200248,A,7,72
200249,A,7,73
200250,A,7,74
200251,A,7,75
200252,A,7,76
200184,A,7,8
200185,A,7,9
288292,AR,0,10
352504,AR,0,11
288293,AR,0,12
352505,AR,0,13
288294,AR,0,14
288247,AR,0,2
352500,AR,0,3
288274,AR,0,4
352501,AR,0,5
288290,AR,0,6
352502,AR,0,7
288291,AR,0,8
352503,AR,0,9
287573,AR,1,1
287582,AR,1,10
287583,AR,1,11
287584,AR,1,12
287585,AR,1,13
287586,AR,1,14
287574,AR,1,2
287575,AR,1,3
287576,AR,1,4
287577,AR,1,5
287578,AR,1,6
287579,AR,1,7
287580,AR,1,8
287581,AR,1,9
288085,AR,10,10
288086,AR,10,11
288087,AR,10,12
288088,AR,10,13
288089,AR,10,14
288078,AR,10,3
288079,AR,10,4
288080,AR,10,5
288081,AR,10,6
288082,AR,10,7
288083,AR,10,8
288084,AR,10,9
288097,AR,11,10
288098,AR,11,11
288099,AR,11,12
288100,AR,11,13
288101,AR,11,14
288090,AR,11,3
288091,AR,11,4
288092,AR,11,5
288093,AR,11,6
288094,AR,11,7
288095,AR,11,8
288096,AR,11,9
288109,AR,12,10
288110,AR,12,11
