locationid,zone,aisle,bay
255543,DRP,17,11
255544,DRP,17,12
255545,DRP,17,13
255546,DRP,17,14
255547,DRP,17,15
255548,DRP,17,16
255549,DRP,17,17
255550,DRP,17,18
255551,DRP,17,19
255534,DRP,17,2
255535,DRP,17,3
255536,DRP,17,4
255537,DRP,17,5
255538,DRP,17,6
255539,DRP,17,7
255540,DRP,17,8
255541,DRP,17,9
255244,DRP,18,1
255560,DRP,18,10
255561,DRP,18,11
255562,DRP,18,12
255563,DRP,18,13
255564,DRP,18,14
255565,DRP,18,15
255566,DRP,18,16
255567,DRP,18,17
255568,DRP,18,18
255569,DRP,18,19
255552,DRP,18,2
255553,DRP,18,3
255554,DRP,18,4
255555,DRP,18,5
255556,DRP,18,6
255557,DRP,18,7
255558,DRP,18,8
255559,DRP,18,9
255245,DRP,19,1
255578,DRP,19,10
255579,DRP,19,11
255580,DRP,19,12
255581,DRP,19,13
255582,DRP,19,14
255583,DRP,19,15
255584,DRP,19,16
255585,DRP,19,17
255586,DRP,19,18
255587,DRP,19,19
255570,DRP,19,2
255571,DRP,19,3
255572,DRP,19,4
255573,DRP,19,5
255574,DRP,19,6
255575,DRP,19,7
255576,DRP,19,8
255577,DRP,19,9
255228,DRP,2,1
255272,DRP,2,10
255273,DRP,2,11
255274,DRP,2,12
255275,DRP,2,13
255276,DRP,2,14
255277,DRP,2,15
255278,DRP,2,16
255279,DRP,2,17
255280,DRP,2,18
255281,DRP,2,19
255264,DRP,2,2
255265,DRP,2,3
255266,DRP,2,4
255267,DRP,2,5
255268,DRP,2,6
255269,DRP,2,7
255270,DRP,2,8
255271,DRP,2,9
255229,DRP,3,1
255290,DRP,3,10
255291,DRP,3,11
255292,DRP,3,12
255293,DRP,3,13
255294,DRP,3,14
255295,DRP,3,15
255296,DRP,3,16
255297,DRP,3,17
255298,DRP,3,18
255299,DRP,3,19
255282,DRP,3,2
255283,DRP,3,3
255284,DRP,3,4
255285,DRP,3,5
255286,DRP,3,6
255287,DRP,3,7
255288,DRP,3,8
255289,DRP,3,9
255230,DRP,4,1
255308,DRP,4,10
255309,DRP,4,11
255310,DRP,4,12
255311,DRP,4,13
255312,DRP,4,14
255313,DRP,4,15
255314,DRP,4,16
255315,DRP,4,17
255316,DRP,4,18
255317,DRP,4,19
255300,DRP,4,2
255301,DRP,4,3
255302,DRP,4,4
255303,DRP,4,5
255304,DRP,4,6
255305,DRP,4,7
255306,DRP,4,8
255307,DRP,4,9
255231,DRP,5,1
255326,DRP,5,10
255327,DRP,5,11
255328,DRP,5,12
255329,DRP,5,13
255330,DRP,5,14
255331,DRP,5,15
255332,DRP,5,16
255333,DRP,5,17
255334,DRP,5,18
255335,DRP,5,19
255318,DRP,5,2
255319,DRP,5,3
255320,DRP,5,4
255321,DRP,5,5
255322,DRP,5,6
255323,DRP,5,7
255324,DRP,5,8
255325,DRP,5,9
255232,DRP,6,1
255344,DRP,6,10
255345,DRP,6,11
255346,DRP,6,12
255347,DRP,6,13
255348,DRP,6,14
255349,DRP,6,15
255350,DRP,6,16
255351,DRP,6,17
255352,DRP,6,18
255353,DRP,6,19
255336,DRP,6,2
255337,DRP,6,3
255338,DRP,6,4
255339,DRP,6,5
255340,DRP,6,6
255341,DRP,6,7
255342,DRP,6,8
255343,DRP,6,9
255233,DRP,7,1
255362,DRP,7,10
255363,DRP,7,11
255364,DRP,7,12
255365,DRP,7,13
255366,DRP,7,14
255367,DRP,7,15
255368,DRP,7,16
255369,DRP,7,17
255370,DRP,7,18
255371,DRP,7,19
255354,DRP,7,2
255355,DRP,7,3
255356,DRP,7,4
255357,DRP,7,5
255358,DRP,7,6
255359,DRP,7,7
255360,DRP,7,8
255361,DRP,7,9
255234,DRP,8,1
255380,DRP,8,10
255381,DRP,8,11
255382,DRP,8,12
255383,DRP,8,13
255384,DRP,8,14
255385,DRP,8,15
255386,DRP,8,16
255387,DRP,8,17
255388,DRP,8,18
255389,DRP,8,19
255372,DRP,8,2
255373,DRP,8,3
255374,DRP,8,4
255375,DRP,8,5
255376,DRP,8,6
255377,DRP,8,7
255378,DRP,8,8
255379,DRP,8,9
255235,DRP,9,1
255398,DRP,9,10
255399,DRP,9,11
255400,DRP,9,12
255401,DRP,9,13
255402,DRP,9,14
255403,DRP,9,15
255404,DRP,9,16
255405,DRP,9,17
255406,DRP,9,18
255407,DRP,9,19
255390,DRP,9,2
255391,DRP,9,3
255392,DRP,9,4
255393,DRP,9,5
255394,DRP,9,6
255395,DRP,9,7
255396,DRP,9,8
255397,DRP,9,9
277574,DWD,1,1
277583,DWD,1,10
277673,DWD,1,100
280041,DWD,1,101
280042,DWD,1,102
280043,DWD,1,103
280044,DWD,1,104
280045,DWD,1,105
280046,DWD,1,106
280047,DWD,1,107
280048,DWD,1,108
280049,DWD,1,109
277584,DWD,1,11
280050,DWD,1,110
280051,DWD,1,111
280052,DWD,1,112
280053,DWD,1,113
280054,DWD,1,114
280055,DWD,1,115
280056,DWD,1,116
280057,DWD,1,117
280058,DWD,1,118
280059,DWD,1,119
277585,DWD,1,12
280060,DWD,1,120
280061,DWD,1,121
280062,DWD,1,122
280063,DWD,1,123
280064,DWD,1,124
280065,DWD,1,125
280066,DWD,1,126
280067,DWD,1,127
280068,DWD,1,128
280069,DWD,1,129
277586,DWD,1,13
280070,DWD,1,130
280071,DWD,1,131
280072,DWD,1,132
280073,DWD,1,133
280074,DWD,1,134
280075,DWD,1,135
280076,DWD,1,136
280077,DWD,1,137
280078,DWD,1,138
280079,DWD,1,139
277587,DWD,1,14
280080,DWD,1,140
280081,DWD,1,141
280082,DWD,1,142
280083,DWD,1,143
280084,DWD,1,144
280085,DWD,1,145
280086,DWD,1,146
280087,DWD,1,147
280088,DWD,1,148
280089,DWD,1,149
277588,DWD,1,15
280090,DWD,1,150
280091,DWD,1,151
280092,DWD,1,152
280093,DWD,1,153
280094,DWD,1,154
280095,DWD,1,155
280096,DWD,1,156
280097,DWD,1,157
280098,DWD,1,158
280099,DWD,1,159
277589,DWD,1,16
280100,DWD,1,160
280101,DWD,1,161
280102,DWD,1,162
280103,DWD,1,163
280104,DWD,1,164
280105,DWD,1,165
280106,DWD,1,166
280107,DWD,1,167
280108,DWD,1,168
280109,DWD,1,169
277590,DWD,1,17
280110,DWD,1,170
280111,DWD,1,171
280112,DWD,1,172
280113,DWD,1,173
280114,DWD,1,174
280115,DWD,1,175
280116,DWD,1,176
280117,DWD,1,177
280118,DWD,1,178
280119,DWD,1,179
277591,DWD,1,18
280120,DWD,1,180
280121,DWD,1,181
280122,DWD,1,182
280123,DWD,1,183
280124,DWD,1,184
280125,DWD,1,185
280126,DWD,1,186
280127,DWD,1,187
280128,DWD,1,188
280129,DWD,1,189
277592,DWD,1,19
280130,DWD,1,190
280131,DWD,1,191
280132,DWD,1,192
280133,DWD,1,193
280134,DWD,1,194
280135,DWD,1,195
280136,DWD,1,196
280137,DWD,1,197
280138,DWD,1,198
280139,DWD,1,199
277575,DWD,1,2
277593,DWD,1,20
280140,DWD,1,200
280188,DWD,1,201
280189,DWD,1,202
280190,DWD,1,203
280191,DWD,1,204
280192,DWD,1,205
280193,DWD,1,206
280194,DWD,1,207
280195,DWD,1,208
280196,DWD,1,209
